"realtime","endtime","eating","drinking","cohort","day","mouse"
68,69,1,0,37,1,12
68,69,0,1,37,1,2
68,69,0,0,37,1,3
68,69,1,0,37,1,4
68,69,0,0,37,1,5
68,69,0,0,37,1,6
68,69,0,0,37,1,7
68,69,0,0,37,1,8
68,69,1,0,37,1,9
69,70,0,0,37,1,1
69,70,1,0,37,1,10
69,70,1,1,37,1,11
69,70,1,1,37,1,12
69,70,0,0,37,1,2
69,70,0,0,37,1,3
69,70,0,0,37,1,4
69,70,1,0,37,1,5
69,70,0,0,37,1,6
69,70,0,0,37,1,7
69,70,0,0,37,1,8
69,70,0,0,37,1,9
70,71,0,0,37,1,1
70,71,1,0,37,1,10
70,71,0,0,37,1,11
70,71,0,0,37,1,12
70,71,1,0,37,1,2
70,71,0,0,37,1,3
70,71,0,0,37,1,4
70,71,1,0,37,1,5
70,71,0,0,37,1,6
70,71,0,0,37,1,7
70,71,0,0,37,1,8
70,71,0,0,37,1,9
71,72,1,0,37,1,1
71,72,0,1,37,1,10
71,72,0,0,37,1,11
71,72,0,0,37,1,12
71,72,0,0,37,1,2
71,72,1,0,37,1,3
71,72,0,0,37,1,4
71,72,0,0,37,1,5
71,72,0,0,37,1,6
71,72,0,0,37,1,7
71,72,0,0,37,1,8
71,72,0,0,37,1,9
72,73,2,0,37,1,1
72,73,0,0,37,1,10
72,73,0,0,37,1,11
72,73,0,0,37,1,12
72,73,0,0,37,1,2
72,73,1,1,37,1,3
72,73,0,0,37,1,4
72,73,0,0,37,1,5
72,73,0,0,37,1,6
72,73,1,0,37,1,7
72,73,0,0,37,1,8
72,73,0,0,37,1,9
73,74,1,0,37,1,1
73,74,1,0,37,1,10
73,74,0,1,37,1,11
73,74,0,0,37,1,12
73,74,1,0,37,1,2
73,74,1,0,37,1,3
73,74,0,0,37,1,4
73,74,0,0,37,1,5
73,74,0,0,37,1,6
73,74,0,0,37,1,7
73,74,0,0,37,1,8
73,74,0,0,37,1,9
74,75,0,0,37,1,1
74,75,1,0,37,1,10
74,75,0,0,37,1,11
74,75,0,0,37,1,12
74,75,0,0,37,1,2
74,75,1,0,37,1,3
74,75,0,0,37,1,4
74,75,0,0,37,1,5
74,75,0,0,37,1,6
74,75,1,0,37,1,7
74,75,0,0,37,1,8
74,75,0,0,37,1,9
75,76,0,0,37,1,1
75,76,0,0,37,1,10
75,76,0,0,37,1,11
75,76,0,0,37,1,12
75,76,1,0,37,1,2
75,76,1,0,37,1,3
75,76,0,0,37,1,4
75,76,0,0,37,1,5
75,76,0,0,37,1,6
75,76,1,0,37,1,7
75,76,0,0,37,1,8
75,76,0,0,37,1,9
76,77,0,0,37,1,1
76,77,1,0,37,1,10
76,77,0,0,37,1,11
76,77,0,1,37,1,12
76,77,0,1,37,1,2
76,77,0,0,37,1,3
76,77,1,0,37,1,4
76,77,0,0,37,1,5
76,77,0,0,37,1,6
76,77,0,0,37,1,7
76,77,0,0,37,1,8
76,77,0,0,37,1,9
77,78,1,0,37,1,1
77,78,1,0,37,1,10
77,78,0,0,37,1,11
77,78,0,0,37,1,12
77,78,0,0,37,1,2
77,78,0,1,37,1,3
77,78,1,0,37,1,4
77,78,0,0,37,1,5
77,78,0,0,37,1,6
77,78,0,0,37,1,7
77,78,0,0,37,1,8
77,78,0,0,37,1,9
78,79,1,0,37,1,1
78,79,1,0,37,1,10
78,79,0,0,37,1,11
78,79,1,0,37,1,12
78,79,1,1,37,1,2
78,79,0,0,37,1,3
78,79,0,0,37,1,4
78,79,0,0,37,1,5
78,79,0,0,37,1,6
78,79,1,0,37,1,7
78,79,0,0,37,1,8
78,79,0,0,37,1,9
79,80,1,0,37,1,1
79,80,0,0,37,1,10
79,80,0,0,37,1,11
79,80,0,0,37,1,12
79,80,1,1,37,1,2
79,80,0,0,37,1,3
79,80,0,0,37,1,4
79,80,0,0,37,1,5
79,80,0,0,37,1,6
79,80,0,0,37,1,7
79,80,0,0,37,1,8
79,80,0,0,37,1,9
80,81,0,0,37,1,1
80,81,0,0,37,1,10
80,81,0,0,37,1,11
80,81,0,0,37,1,12
80,81,0,0,37,1,2
80,81,0,0,37,1,3
80,81,0,0,37,1,4
80,81,0,0,37,1,5
80,81,0,0,37,1,6
80,81,0,0,37,1,7
