"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/24/2015 19:43:45","2","Fighting","3, 11","NB5","BN",""
"8/24/2015 19:50:35","2","Fighting","11","NB4","BN",""
"8/24/2015 19:53:11","2","Subordinate, Induce-flee","6","NB3, NB4","BN","In tube"
"8/24/2015 19:55:53","2","Fighting","4","MR","BN",""
"8/24/2015 19:58:11","2","Fighting, Chasing","5","UL","BN",""
"8/24/2015 19:59:31","2","Fighting","3","NB1, NB5","BN","In tube"
"8/24/2015 20:00:37","End","End","End","End","BN",""
"8/25/2015 14:00:32","Start","Start","Start","Start","WL",""
"8/25/2015 14:05:51","2","Induce-flee","10","MR","WL",""
"8/25/2015 14:06:28","2","Fighting, Chasing","6","MR","WL",""
"8/25/2015 14:07:13","2","Chasing","10","LR","WL",""
"8/25/2015 14:09:35","2","Fighting","10","MR","WL",""
"8/25/2015 14:16:36","2","Induce-flee","4","UL","WL",""
"8/25/2015 14:16:48","2","Chasing","7","UL","WL",""
"8/25/2015 14:21:24","2","Fighting","12","LR","WL",""
"8/25/2015 14:21:38","2","Fighting, Chasing","1","LR","WL",""
"8/25/2015 14:30:59","2","Subordinate","10","UR","WL",""
"8/25/2015 14:31:16","2","Chasing","8","UL","WL","I hate 2 ahhhhhhhhh"
"8/25/2015 14:32:11","2","Induce-flee","4","UR","WL",""
"8/25/2015 14:35:10","2","Fighting","11","LR","WL",""
"8/25/2015 14:41:01","2","Fighting","4","UR","WL",""
"8/25/2015 14:42:02","2","Chasing","10","UR","WL",""
"8/25/2015 14:44:46","2","Chasing","7","UR","WL",""
"8/25/2015 14:45:03","2","Fighting, Chasing","11","UR","WL",""
"8/25/2015 14:46:55","2","Fighting, Chasing","7","UR","WL",""
"8/25/2015 14:47:12","2","Fighting","7","UL","WL",""
"8/25/2015 14:51:23","2","Fighting, Chasing","10","UR","WL",""
"8/25/2015 14:56:52","2","Fighting","8","UR","WL",""
"8/26/2015 17:00:43","Start","Start","Start","Start","BN",""
"8/26/2015 17:01:29","2","Chasing","7","LR","BN",""
"8/26/2015 17:09:09","2","Fighting","9","UR","BN",""
"8/26/2015 17:10:35","2","Fighting","7","UL","BN",""
"8/26/2015 17:35:37","2","Fighting","1","NB2","BN",""
"8/26/2015 17:36:42","2","Induce-flee","4","UR","BN",""
"8/26/2015 17:36:52","2","Fighting","3","UR","BN",""
"8/26/2015 17:37:54","2","Subordinate","3","UL","BN",""
"8/26/2015 17:38:50","2","Fighting, Chasing","8","ML","BN",""
"8/26/2015 17:41:18","2","Chasing","10, 11","MR, LR","BN",""
"8/26/2015 17:45:05","2","Fighting, Subordinate","10","UR","BN",""
"8/26/2015 17:50:23","2","Fighting","11","NB4, NB5","BN","Tube"
"8/26/2015 17:54:10","2","Fighting","7","UR","BN",""
"8/26/2015 17:58:20","2","Fighting","11","LR","BN",""
"8/26/2015 18:00:16","End","End","End","End","BN",""
"8/27/2015 13:00:43","Start","Start","Start","Start","CW",""
"8/27/2015 13:01:32","2","Fighting, Chasing","12","LR, NB3","CW",""
"8/27/2015 13:01:49","2","Fighting","10","UR","CW",""
"8/27/2015 13:02:29","2","Fighting","11","UR","CW",""
