Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
8/21/2015 15:04:47,8,"Fighting, Chasing, Subordinate",11,ML,BN,,
8/21/2015 15:05:04,8,Subordinate,12,MR,BN,,
8/21/2015 15:05:45,8,Fighting,"5, 12",LL,BN,,
8/21/2015 15:06:41,1,Fighting,4,NB5,BN,,
8/21/2015 15:06:53,1,Fighting,3,NB2,BN,,
8/21/2015 15:07:18,8,Fighting,1,NB2,BN,,
8/21/2015 15:08:11,8,Chasing,9,LR,BN,,
8/21/2015 15:09:17,7,Induce-flee,11,LR,BN,,
8/21/2015 15:11:17,8,Fighting,9,LL,BN,,
8/21/2015 15:12:02,8,Fighting,7,UR,BN,,
8/21/2015 15:13:00,1,Fighting,5,NB2,BN,,
8/21/2015 15:13:21,8,Fighting,7,UR,BN,,
8/21/2015 15:14:03,8,Fighting,"3, 7",NB3,BN,,
8/21/2015 15:22:04,8,Fighting,3,LL,BN,,
8/21/2015 15:24:10,8,Fighting,11,UL,BN,,
8/21/2015 15:26:29,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/21/2015 15:50:54,1,Induce-flee,3,NB3,BN,,
8/21/2015 16:00:25,End,End,End,End,BN,,
8/21/2015 20:00:22,Start,Start,Start,Start,WL,,
8/21/2015 20:19:22,1,"Fighting, Chasing",4,UL,WL,,
8/21/2015 20:20:31,2,"Fighting, Chasing",9,MR,WL,"Yeah, 8 is sleeping",
8/21/2015 20:23:27,1,Chasing,6,UR,WL,,
8/21/2015 20:24:48,1,Chasing,9,LL,WL,,
8/21/2015 20:24:58,1,Fighting,5,LL,WL,,
8/21/2015 20:26:18,2,Chasing,7,UL,WL,,
8/21/2015 20:28:54,7,"Chasing, Subordinate",4,ML,WL,,
8/21/2015 20:29:30,2,"Fighting, Chasing",7,LL,WL,,
8/21/2015 20:29:41,12,Induce-flee,2,LL,WL,,
8/21/2015 20:35:01,"1, 8",Fighting,"1, 8",NB5,WL,1 was attacking and chasing some other mouse then 1 and 8 fought.  Couldn't see who won,
8/21/2015 20:36:49,1,"Fighting, Chasing",9,NB3,WL,Intense,
8/21/2015 20:52:45,3,"Fighting, Chasing",2,NB5,WL,Whattt,
8/21/2015 20:53:49,3,"Fighting, Chasing",2,LR,WL,,
8/21/2015 20:54:03,12,"Fighting, Subordinate",3,NB1,WL,,
8/21/2015 20:59:03,End,End,End,End,WL,,
8/22/2015 13:03:26,1,"Fighting, Chasing",9,NB2,WL,,Yes
