"cohort","day","sttc","focalrank","timewindow"
"46","20",0.648762214172966,5,3
"81","7",0.664394226761732,5,3
"83","12",0.788152589266218,5,3
"85","8",0.513212423406562,5,3
"86","7",0.437816209206839,5,3
"36","9",0.872674095113855,6,3
"37","6",0.737990640362853,6,3
"38","17",0.303166309435473,6,3
"39","22",0.745872275511406,6,3
"44","8",0.83955230772431,6,3
"45","14",0.757061324438359,6,3
"46","20",0.640204107649136,6,3
"81","7",0.827495779593594,6,3
"83","12",0.869346373313203,6,3
"85","8",0.687363068362262,6,3
"86","7",0.822235543095867,6,3
"36","9",0.652563412807454,7,3
"37","6",0.653672475939938,7,3
"38","17",0.543546255022098,7,3
"39","22",0.743146148139113,7,3
"44","8",0.823753905348477,7,3
"45","14",0.644292605298072,7,3
"46","20",0.593276251428036,7,3
"81","7",0.785848166154652,7,3
"83","12",0.887158213316635,7,3
"85","8",0.694542602317047,7,3
"86","7",0.888331375119953,7,3
"36","9",0.792392286109164,8,3
"37","6",0.91101396230993,8,3
"38","17",0.0886834945530166,8,3
"39","22",0.844392126406984,8,3
"44","8",0.795696927589508,8,3
"45","14",0.769313179856593,8,3
"46","20",0.532600246763033,8,3
"81","7",0.624349938557547,8,3
"83","12",0.759992116949019,8,3
"85","8",0.833026104183054,8,3
"86","7",0.87298272069924,8,3
"36","9",0.817311181547808,9,3
"37","6",0.365181624052282,9,3
"38","17",0.504230693539864,9,3
"39","22",0.759184892497254,9,3
"44","8",0.679242074570235,9,3
"45","14",0.770914145727656,9,3
"46","20",0.723395002067754,9,3
"81","7",0.891778398046155,9,3
"83","12",0.798037142178597,9,3
"85","8",0.590462471767589,9,3
"86","7",0.515829373764389,9,3
"36","9",0.790861757490178,10,3
"37","6",0.589164489876964,10,3
"38","17",0.31585287471838,10,3
"39","22",0.757623338044349,10,3
"44","8",0.712674652699968,10,3
"45","14",0.783254502065112,10,3
"46","20",0.666063891411943,10,3
"81","7",0.705357333384575,10,3
"83","12",0.843694576670294,10,3
"85","8",0.768525610144735,10,3
"86","7",0.618325462140996,10,3
"36","9",0.765134681524766,11,3
"37","6",0.626073401479993,11,3
"38","17",0.256008773490515,11,3
"39","22",0.891264881191459,11,3
"44","8",0.684743871186079,11,3
"45","14",0.885165736500502,11,3
"46","20",0.892007663582358,11,3
"81","7",0.91012786536888,11,3
"83","12",0.825475662653262,11,3
"85","8",0.682690854730555,11,3
"86","7",0.758753923838014,11,3
"36","9",0.863704141628512,12,3
"37","6",0.606602249648594,12,3
"38","17",0.457207955706902,12,3
"39","22",0.640165635091295,12,3
"44","8",0.802560006859025,12,3
"45","14",0.91212429831644,12,3
"46","20",0.491961165611079,12,3
"81","7",0.393420266790229,12,3
"83","12",0.746030815806779,12,3
"85","8",0.763344154981998,12,3
"86","7",0.92087731156975,12,3
"36","9",0.853478595755343,1,4
"37","6",0.254137202482215,1,4
"38","17",0.597504137237874,1,4
"39","22",0.852402981361705,1,4
"44","8",0.783860602668477,1,4
"45","14",0.747444389027867,1,4
"46","20",0.533866042192044,1,4
"81","7",0.714899767393253,1,4
"83","12",0.736680296314265,1,4
"85","8",0.55534917721843,1,4
"86","7",0.446008769550305,1,4
"36","9",0.735905238642969,2,4
"37","6",0.334103574090418,2,4
"38","17",0.00104623245395186,2,4
"39","22",0.774273208056055,2,4
"44","8",0.727873164401825,2,4
"45","14",0.686023830487945,2,4
"46","20",0.466610991599406,2,4
"81","7",0.424538234924254,2,4
"83","12",0.787135563125602,2,4
"85","8",0.233925282470713,2,4
"86","7",0.444981411459914,2,4
"36","9",0.775529157734452,3,4
"37","6",0.635959214818628,3,4
"38","17",0.250093032735032,3,4
"39","22",0.727169529411385,3,4
"44","8",0.698273943310469,3,4
"45","14",0.703725045603628,3,4
"46","20",0.884471475594491,3,4
"81","7",0.581037862751409,3,4
"83","12",0.601602658737018,3,4
"85","8",0.700006321999312,3,4
"86","7",0.165487076449694,3,4
"36","9",0.869429479892585,4,4
"37","6",0.519646678031743,4,4
"38","17",0.296078341733914,4,4
"39","22",0.556085774105328,4,4
"44","8",0.842085647695693,4,4
"45","14",0.743654175002025,4,4
"46","20",0.532697926686772,4,4
"81","7",0.676353511550597,4,4
"83","12",0.852903239102553,4,4
"85","8",0.55576792072022,4,4
"86","7",0.887804934720714,4,4
"36","9",0.783903641533,5,4
"37","6",0.845151358657592,5,4
"38","17",0.894969578082921,5,4
"39","22",0.490776338882672,5,4
"44","8",0.702079805968045,5,4
"45","14",0.875206520609259,5,4
"46","20",0.594652556800655,5,4
"81","7",0.658843805994572,5,4
"83","12",0.82092940727433,5,4
"85","8",0.515328479586789,5,4
"86","7",0.455988039792952,5,4
"36","9",0.872657376261413,6,4
"37","6",0.729400448717554,6,4
"38","17",0.27551623907939,6,4
