"cohort","day","sttc","focalrank","timewindow"
86,7,0.00816159574879437,1,3
36,9,0.393171928001122,2,3
37,6,-0.104931321757214,2,3
38,17,-0.407899718636823,2,3
39,22,0.432566204512594,2,3
44,8,0.297271219442965,2,3
45,14,0.313846171707347,2,3
46,20,0.0155035008374034,2,3
81,7,-0.13092172090384,2,3
83,12,0.388066742924223,2,3
85,8,-0.297347124635272,2,3
86,7,-0.0190157203131278,2,3
36,9,0.427897363655285,3,3
37,6,0.203394996358365,3,3
38,17,-0.272115596199861,3,3
39,22,0.3807324590254,3,3
44,8,0.3622174152586,3,3
45,14,0.321856778113304,3,3
46,20,0.62380709290687,3,3
81,7,0.128884316616795,3,3
83,12,0.0263888110959833,3,3
85,8,0.367473104616508,3,3
86,7,-0.348836886402655,3,3
36,9,0.510051400552417,4,3
37,6,0.0771732847710366,4,3
38,17,-0.197056255527805,4,3
39,22,0.0848011645603122,4,3
44,8,0.507407799396155,4,3
45,14,0.244164069863996,4,3
46,20,0.0708081081884284,4,3
81,7,0.197817195072316,4,3
83,12,0.591936180454981,4,3
85,8,0.0552775785211461,4,3
86,7,0.51553009695807,4,3
36,9,0.501425744866242,5,3
37,6,0.579970416445422,5,3
38,17,0.541668455380882,5,3
39,22,-0.0445623049671696,5,3
44,8,0.315340730352947,5,3
45,14,0.582781406062017,5,3
46,20,0.127337422630921,5,3
81,7,0.130356036516234,5,3
83,12,0.480476483498656,5,3
85,8,-0.0105556331372374,5,3
86,7,-0.0333227279593964,5,3
36,9,0.649408052494182,6,3
37,6,0.297163099891451,6,3
38,17,-0.271947639735062,6,3
39,22,0.37535781975057,6,3
44,8,0.549085965587284,6,3
45,14,0.386762362029784,6,3
46,20,0.198484116581221,6,3
81,7,0.408941049106722,6,3
83,12,0.584283950240475,6,3
85,8,0.319280860232241,6,3
86,7,0.422566371271465,6,3
36,9,0.210143393174649,7,3
37,6,0.189264965395877,7,3
38,17,-0.00214943454795801,7,3
39,22,0.307384590051486,7,3
44,8,0.517787284674118,7,3
45,14,0.148805212644432,7,3
46,20,0.174617732903354,7,3
81,7,0.369268533322678,7,3
83,12,0.6785413153457,7,3
85,8,0.215313451928201,7,3
86,7,0.550377223439869,7,3
36,9,0.465812370105836,8,3
37,6,0.620242324822357,8,3
38,17,-0.332526553789629,8,3
39,22,0.485465864578419,8,3
