"cohort","day","sttc","focalrank","timewindow"
"83","12",-0.00617256771563741,3,2
"85","8",0.283862342906686,3,2
"86","7",-0.304523585636522,3,2
"36","9",0.366231115888874,4,2
"37","6",0.123962257758526,4,2
"38","17",-0.113347595392227,4,2
"39","22",0.178360623361051,4,2
"44","8",0.470516951033413,4,2
"45","14",0.174878738159799,4,2
"46","20",0.124552617338592,4,2
"81","7",0.219323032496509,4,2
"83","12",0.490689194008416,4,2
"85","8",0.0544888778694499,4,2
"86","7",0.407164511743962,4,2
"36","9",0.419168266818452,5,2
"37","6",0.582056231607946,5,2
"38","17",0.544594974539472,5,2
"39","22",0.0284866467303093,5,2
"44","8",0.315705714725639,5,2
"45","14",0.528699211779425,5,2
"46","20",0.123726122407333,5,2
"81","7",0.119239909682551,5,2
"83","12",0.361166012907339,5,2
"85","8",0.0170266543981898,5,2
"86","7",-0.00740664306488281,5,2
"36","9",0.463245419759491,6,2
"37","6",0.391926038510935,6,2
"38","17",-0.310063681002497,6,2
"39","22",0.335067744340808,6,2
"44","8",0.47516185794897,6,2
"45","14",0.266998861270729,6,2
"46","20",0.372142938530981,6,2
"81","7",0.351622931007647,6,2
"83","12",0.505739748811932,6,2
"85","8",0.307769518620445,6,2
"86","7",0.3812798546118,6,2
"36","9",0.247165629203567,7,2
"37","6",0.218507501256998,7,2
"38","17",-0.0584842926767002,7,2
"39","22",0.323967123792874,7,2
"44","8",0.524660633926633,7,2
"45","14",0.158362604061029,7,2
"46","20",0.221605732734375,7,2
"81","7",0.366209010984222,7,2
"83","12",0.635702181419097,7,2
"85","8",0.263458596155641,7,2
"86","7",0.496070770453741,7,2
"36","9",0.38195945445401,8,2
"37","6",0.457606458010631,8,2
"38","17",-0.259073564248383,8,2
"39","22",0.488821734416957,8,2
"44","8",0.440326828366098,8,2
"45","14",0.264793921787644,8,2
"46","20",0.168341902129161,8,2
"81","7",0.197921734214365,8,2
"83","12",0.379253164175252,8,2
"85","8",0.46445271939322,8,2
"86","7",0.438119105626031,8,2
"36","9",0.463358691107436,9,2
"37","6",0.0338493953027686,9,2
"38","17",0.0279346162013029,9,2
"39","22",0.382627608871633,9,2
"44","8",0.322196685152326,9,2
"45","14",0.335348099347527,9,2
"46","20",0.32012835530234,9,2
"81","7",0.402743366947898,9,2
"83","12",0.388700662393011,9,2
"85","8",0.187544710613575,9,2
"86","7",0.0530129400429167,9,2
"36","9",0.471578530760931,10,2
"37","6",0.120303159824496,10,2
"38","17",-0.14780478449036,10,2
"39","22",0.337744984558777,10,2
"44","8",0.402829183687806,10,2
"45","14",0.234304071948755,10,2
"46","20",0.248244136444806,10,2
"81","7",0.241841168897597,10,2
"83","12",0.427073050778902,10,2
"85","8",0.291972418131217,10,2
"86","7",0.200678208858213,10,2
"36","9",0.405618814996718,11,2
"37","6",0.197636428938302,11,2
"38","17",-0.191821665230599,11,2
"39","22",0.452545188156806,11,2
"44","8",0.325217323606148,11,2
"45","14",0.629568548172581,11,2
"46","20",0.545260114958113,11,2
"81","7",0.550121178932758,11,2
"83","12",0.504492807000797,11,2
"85","8",0.191708372073022,11,2
"86","7",0.148190607256502,11,2
"36","9",0.503377793428862,12,2
"37","6",0.202794506594153,12,2
"38","17",0.0380514555003357,12,2
