"realtime","subject","side","cohort","day"
280,"M12","right",39,22
281,"M11","left",39,22
281,"M2","right",39,22
282,"M1","left",39,22
283,"M11","right",39,22
287,"M5","left",39,22
288,"M5","left",39,22
288,"M6","right",39,22
289,"M1","left",39,22
289,"M12","left",39,22
289,"M6","right",39,22
289,"M11","right",39,22
290,"M1","left",39,22
290,"M6","right",39,22
290,"M11","right",39,22
291,"M1","left",39,22
291,"M6","right",39,22
291,"M11","right",39,22
292,"M5","left",39,22
293,"M3","left",39,22
293,"M5","left",39,22
293,"M6","right",39,22
294,"M3","left",39,22
294,"M5","left",39,22
295,"M3","left",39,22
295,"M5","left",39,22
296,"M10","right",39,22
297,"M6","left",39,22
297,"M7","left",39,22
297,"M10","left",39,22
297,"M1","right",39,22
297,"M2","right",39,22
298,"M1","left",39,22
298,"M5","left",39,22
298,"M7","left",39,22
298,"M10","left",39,22
298,"M2","right",39,22
298,"M6","right",39,22
299,"M1","left",39,22
299,"M10","left",39,22
299,"M6","right",39,22
300,"M1","left",39,22
300,"M3","left",39,22
300,"M10","left",39,22
300,"M6","right",39,22
301,"M1","left",39,22
301,"M3","left",39,22
301,"M3","right",39,22
301,"M6","right",39,22
302,"M1","left",39,22
302,"M6","right",39,22
303,"M1","left",39,22
303,"M10","left",39,22
304,"M2","left",39,22
304,"M5","left",39,22
304,"M2","right",39,22
305,"M2","right",39,22
305,"M12","right",39,22
306,"M5","left",39,22
306,"M7","left",39,22
306,"M2","right",39,22
306,"M3","right",39,22
306,"M9","right",39,22
307,"M2","right",39,22
307,"M9","right",39,22
308,"M1","left",39,22
308,"M3","left",39,22
308,"M12","left",39,22
308,"M9","right",39,22
309,"M1","left",39,22
309,"M3","left",39,22
309,"M9","right",39,22
310,"M5","left",39,22
311,"M3","left",39,22
311,"M9","right",39,22
311,"M11","right",39,22
312,"M3","left",39,22
312,"M10","left",39,22
312,"M11","right",39,22
313,"M2","left",39,22
313,"M3","left",39,22
313,"M10","left",39,22
313,"M10","right",39,22
313,"M11","right",39,22
314,"M1","left",39,22
315,"M9","left",39,22
315,"M9","right",39,22
315,"M11","right",39,22
316,"M3","left",39,22
316,"M12","left",39,22
316,"M9","right",39,22
317,"M3","left",39,22
317,"M10","left",39,22
317,"M9","right",39,22
318,"M3","left",39,22
318,"M10","left",39,22
319,"M3","left",39,22
319,"M10","left",39,22
319,"M9","right",39,22
320,"M3","left",39,22
320,"M10","right",39,22
322,"M7","left",39,22
322,"M6","right",39,22
322,"M9","right",39,22
323,"M7","left",39,22
323,"M6","right",39,22
323,"M11","right",39,22
324,"M7","left",39,22
324,"M9","right",39,22
325,"M6","left",39,22
325,"M7","left",39,22
325,"M9","right",39,22
325,"M11","right",39,22
326,"M6","right",39,22
326,"M11","right",39,22
328,"M1","right",39,22
329,"M9","left",39,22
329,"M6","right",39,22
330,"M9","left",39,22
330,"M6","right",39,22
331,"M9","right",39,22
334,"M5","left",39,22
335,"M5","left",39,22
335,"M3","right",39,22
336,"M5","left",39,22
336,"M3","right",39,22
337,"M10","right",39,22
338,"M3","right",39,22
338,"M4","right",39,22
339,"M3","right",39,22
339,"M4","right",39,22
340,"M2","left",39,22
340,"M12","left",39,22
340,"M3","right",39,22
340,"M4","right",39,22
340,"M10","right",39,22
341,"M2","left",39,22
341,"M4","right",39,22
341,"M12","right",39,22
342,"M2","left",39,22
342,"M10","left",39,22
342,"M4","right",39,22
