realtime,subject,side,cohort,day
700,M2,left,37,1
700,M2,right,37,1
703,M12,right,37,1
704,M2,left,37,1
705,M4,right,37,1
706,M11,left,37,1
706,M4,right,37,1
707,M11,left,37,1
708,M11,left,37,1
709,M11,left,37,1
710,M2,left,37,1
711,M2,left,37,1
712,M2,left,37,1
716,M2,left,37,1
716,M2,right,37,1
717,M2,left,37,1
718,M9,left,37,1
718,M9,right,37,1
719,M9,left,37,1
719,M3,left,37,1
720,M9,left,37,1
720,M3,left,37,1
721,M9,left,37,1
721,M3,left,37,1
721,M2,right,37,1
722,M2,left,37,1
722,M2,right,37,1
723,M2,left,37,1
724,M9,right,37,1
725,M7,left,37,1
726,M7,left,37,1
727,M4,left,37,1
727,M7,left,37,1
727,M9,right,37,1
727,M4,right,37,1
728,M2,left,37,1
728,M7,left,37,1
728,M11,right,37,1
728,M4,right,37,1
729,M11,left,37,1
729,M2,left,37,1
729,M7,right,37,1
729,M11,right,37,1
730,M11,left,37,1
730,M7,right,37,1
731,M11,left,37,1
731,M7,right,37,1
732,M2,left,37,1
732,M11,right,37,1
733,M11,left,37,1
734,M11,left,37,1
735,M11,left,37,1
735,M4,left,37,1
736,M4,left,37,1
736,M2,right,37,1
737,M4,left,37,1
737,M2,right,37,1
737,M4,right,37,1
738,M2,left,37,1
740,M5,left,37,1
740,M11,right,37,1
741,M5,left,37,1
741,M11,right,37,1
742,M5,left,37,1
742,M11,right,37,1
742,M5,right,37,1
743,M11,left,37,1
743,M5,right,37,1
744,M11,left,37,1
744,M5,right,37,1
746,M11,left,37,1
747,M5,right,37,1
748,M2,right,37,1
750,M2,right,37,1
751,M2,left,37,1
751,M2,right,37,1
752,M2,right,37,1
754,M5,left,37,1
755,M5,left,37,1
757,M5,left,37,1
759,M2,right,37,1
760,M2,right,37,1
763,M2,right,37,1
764,M2,right,37,1
770,M10,left,37,1
771,M10,left,37,1
772,M8,left,37,1
772,M10,left,37,1
772,M2,right,37,1
780,M2,left,37,1
780,M2,right,37,1
781,M2,right,37,1
782,M8,left,37,1
783,M8,left,37,1
783,M10,left,37,1
783,M8,right,37,1
783,M2,right,37,1
784,M10,left,37,1
785,M10,left,37,1
787,M10,left,37,1
788,M10,left,37,1
789,M8,left,37,1
789,M10,left,37,1
790,M10,left,37,1
790,M8,left,37,1
790,M2,right,37,1
790,M8,right,37,1
797,M2,right,37,1
799,M8,left,37,1
800,M8,left,37,1
800,M2,right,37,1
801,M8,left,37,1
801,M10,right,37,1
802,M10,left,37,1
804,M7,left,37,1
804,M10,left,37,1
805,M7,left,37,1
805,M10,left,37,1
806,M7,left,37,1
807,M7,left,37,1
807,M10,left,37,1
807,M2,right,37,1
808,M7,left,37,1
808,M2,left,37,1
809,M2,left,37,1
809,M7,left,37,1
809,M10,right,37,1
810,M7,left,37,1
810,M2,left,37,1
810,M2,right,37,1
810,M10,right,37,1
811,M7,left,37,1
811,M2,right,37,1
814,M2,left,37,1
816,M2,right,37,1
820,M12,left,37,1
821,M12,left,37,1
821,M12,right,37,1
822,M12,right,37,1
823,M12,right,37,1
824,M12,right,37,1
825,M12,right,37,1
826,M12,right,37,1
827,M12,right,37,1
828,M12,left,37,1
829,M12,left,37,1
829,M2,right,37,1
830,M2,right,37,1
831,M2,right,37,1
834,M2,right,37,1
849,M12,right,37,1
851,M12,right,37,1
852,M12,right,37,1
853,M12,right,37,1
854,M12,right,37,1
856,M12,right,37,1
857,M12,right,37,1
858,M12,right,37,1
859,M12,right,37,1
861,M12,right,37,1
861,M1,right,37,1
862,M1,right,37,1
864,M1,right,37,1
865,M1,right,37,1
866,M1,right,37,1
867,M1,right,37,1
868,M1,right,37,1
869,M1,right,37,1
870,M1,right,37,1
871,M1,left,37,1
871,M1,right,37,1
873,M1,right,37,1
874,M1,right,37,1
876,M1,left,37,1
876,M1,right,37,1
877,M1,right,37,1
878,M1,right,37,1
879,M1,right,37,1
881,M12,left,37,1
881,M1,right,37,1
882,M12,left,37,1
882,M1,right,37,1
883,M2,right,37,1
884,M12,right,37,1
885,M12,right,37,1
887,M12,right,37,1
888,M2,right,37,1
889,M2,right,37,1
890,M2,right,37,1
891,M2,right,37,1
908,M9,left,37,1
909,M9,left,37,1
909,M9,right,37,1
910,M9,right,37,1
912,M9,right,37,1
913,M9,right,37,1
916,M2,right,37,1
917,M2,right,37,1
1053,M2,left,37,1
1053,M2,right,37,1
1055,M2,right,37,1
1058,M2,right,37,1
1059,M2,right,37,1
1060,M2,right,37,1
1080,M9,right,37,1
1081,M9,right,37,1
1082,M9,right,37,1
1083,M9,right,37,1
1084,M9,left,37,1
1085,M9,right,37,1
1086,M9,right,37,1
1091,M9,right,37,1
1093,M9,right,37,1
1094,M9,right,37,1
1100,M9,right,37,1
1130,M2,right,37,1
1131,M2,right,37,1
1132,M2,right,37,1
1147,M8,right,37,1
1148,M8,left,37,1
1148,M2,right,37,1
1149,M8,left,37,1
1149,M2,right,37,1
1150,M2,right,37,1
1168,M2,right,37,1
1169,M2,right,37,1
1171,M2,right,37,1
1172,M2,right,37,1
1176,M8,right,37,1
1177,M8,left,37,1
1178,M4,right,37,1
1179,M4,right,37,1
1180,M4,left,37,1
1181,M4,left,37,1
1182,M4,left,37,1
1182,M4,right,37,1
1183,M4,right,37,1
1185,M4,right,37,1
1186,M4,right,37,1
1192,M12,right,37,1
1193,M12,right,37,1
1194,M12,right,37,1
1195,M12,right,37,1
1196,M12,right,37,1
1197,M5,left,37,1
1197,M12,right,37,1
1198,M5,left,37,1
1198,M5,right,37,1
1198,M12,right,37,1
1199,M5,right,37,1
1200,M4,left,37,1
1200,M5,right,37,1
1201,M12,right,37,1
1201,M5,right,37,1
1203,M4,left,37,1
1203,M12,right,37,1
1204,M4,left,37,1
1205,M5,left,37,1
1205,M4,right,37,1
1205,M12,right,37,1
1206,M5,left,37,1
1206,M5,right,37,1
1206,M4,right,37,1
1207,M4,left,37,1
1207,M12,right,37,1
1208,M4,left,37,1
1208,M12,right,37,1
1208,M5,right,37,1
1209,M12,right,37,1
1210,M4,right,37,1
1210,M12,right,37,1
1211,M4,right,37,1
1211,M12,right,37,1
1212,M12,right,37,1
1213,M12,right,37,1
1215,M2,right,37,1
1216,M2,right,37,1
1231,M2,right,37,1
1232,M2,right,37,1
1234,M2,right,37,1
1236,M2,right,37,1
1237,M2,right,37,1
1257,M3,right,37,1
1258,M1,right,37,1
1259,M3,right,37,1
1259,M1,right,37,1
1260,M3,right,37,1
1266,M3,right,37,1
1267,M1,right,37,1
1268,M3,right,37,1
1268,M1,right,37,1
1270,M1,right,37,1
1271,M1,right,37,1
1272,M1,right,37,1
1278,M3,right,37,1
1282,M2,right,37,1
1289,M2,right,37,1
1290,M2,right,37,1
1296,M2,right,37,1
