Hour,Start (minute),Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8,Mouse 9,Mouse 10,Mouse 11,Mouse 12,Light
2,44,,,,,,,,,,,,,
2,45,,,,,,,,,,,,,
2,46,,,,,,,,,,,,,
2,47,,,,e,,,,,,,,,
2,48,,,,e,,,,,,,,,
2,49,,,,"d, e",,,,,,,,,
2,50,,,,e,,,,,,,,,
2,51,,,,d,,,,,,,,,
2,52,,,,,,,,,,,,,
2,53,,,,,,,,,,,,,
2,54,,,,,,,,,,,,,
2,55,,,,,,,,,,,,,
2,56,,,,,,,,,,,,,
2,57,,,,,,,,,,,,,
2,58,,,,,,,,,,,,,
2,59,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
3,2,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,
3,5,,,,,,,,,,,,,
3,6,,,,,,,,,,,,,
3,7,,,,,,,,,,,,,
3,8,,,,,,,,,,e,,,
3,9,,,,,,,,,,e,,,
3,10,,,,,,,,,,,,,
3,11,,,,,,,,,,,,,
3,12,,,,,,,,,,,,,
3,13,,,,,,,,,,"e, d",,,
3,14,,,,,,,,,,,,,
3,15,,,,,,,,,,,,,
3,16,,,,,,,,,,,,,
3,17,,,,,,,,,,,,,
3,18,,,,,,,,,,d,,,
3,19,,,,,,,,,,d,,,
3,20,,,,,,,,,,,,,
3,21,,,,,,,,,,,,,
3,22,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,
3,24,,,,,,,,,,,,,
3,25,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,
3,27,,,,,,,,,,,,,
3,28,,,,,,,,,,,,,
3,29,,,,,,,,,,,,,
3,30,,,,,,,,,,,,,
3,31,,,,,,,,,,,,,
3,32,,,,,,,,,,,,,
3,33,,,,,,,,,,,,,
3,34,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,
3,36,,,,,,,,,,,,,
3,37,,,,,,,,,,,,,
3,38,,,,,,,,,,,,,
3,39,,,,,,,,,,,,,
3,40,,,,,,,,,,,,,
3,41,,,,,,,,,,,,,
3,42,,,,,,,,,,,,,
3,43,,,,,,,,,,,,,
3,44,,,,,,,,,,,,,
3,45,,,,,,,,,,,,,
3,46,,,,,,,,,,,,,
3,47,,,,,,,,,,,,"e, d",
3,48,,,,,,,,,,,,e,
3,49,,,,d,,,,,,,,,
3,50,,,,,,,,,,,,e,
3,51,,,,,,,,,,,,e,
3,52,,,,,,,,,,,,e,
3,53,,,,,,,,,,,,e,
3,54,,,,,,,,,,,,d,
3,55,,,e,,,,,,,,,"d, e",
3,56,,,e,,,,,,,,,e,
3,57,,,e,,,,,,,,,e,
3,58,,,e,,,,,,,,,e,
3,59,,,e,,,,,,,e,,,
4,0,,,,,,,,,,,,,
4,1,,,,,,,,,,e,,,
4,2,,,,,,,,,,e,,,
4,3,,,,,,,,,,,,,
4,4,,,,,,,,,,e,,,
4,5,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,on
4,7,,,,,,,,,,,,e,
4,8,,,,,,,,,,,,e,
4,9,,,,,,,,,,,,e,
4,10,,,,,,,,,,,,"e, d",
4,11,,,e,,,,,,,,,"d, e",
4,12,,,"e, d",,,,,,,,,"e, d",
4,13,,,,,,,,,,,,"d, e",
4,14,,,e,,,,,,,e,,e,
4,15,,,,,,,,,,,,"e, d",
4,16,,,e,,,,,,,,,,
4,17,,,e,,,,,,,d,,,
4,18,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,
4,20,,,e,,,,,,,,,,
4,21,,,,,,,,,,e,,,
4,22,,,d,,,,,,,e,,,
4,23,,,,,,,,,,,,,
4,24,,,e,,,,,,,d,,,
4,25,,,e,,,,,,,,,,
4,26,,,"e, d",,,,,,,e,,,
4,27,,,e,,,,,,,,,,
4,28,,,"e, d",,,,,,,e,,,
4,29,,,e,,,,,,,d,,,
4,30,,,e,,,,,,,"d, e",,,
4,31,,,e,,,,,,,e,,,
4,32,,,"e, d",,,,,,,e,,,
4,33,,,e,,,,,,,e,,,
4,34,,,e,,,,,,,,,,
4,35,,,e,,,,,,,,,,
4,36,,,"e, d",,,,,,,d,,,
4,37,,,,,,,,,,,,,
4,38,,,e,,,,,,,,,,
4,39,,,d,,,,,,,e,,,
4,40,,,,,,,,,,e,,,
4,41,,,e,,,,,,,e,,,
4,42,,,e,,,,,,,,,,
4,43,,,e,,,,,,,,,,
4,44,,,d,,,,,,,,,,
4,45,,,,,,,,,,,,,
4,46,,,,,,,,,,"d, e",,,
4,47,,,,,,,,,,e,,,
4,48,,,,,,,,,,e,,,
4,49,,,,,,,,,,e,,,
4,50,,,,,,,,,,d,,,
4,51,,,,,,,,,,,,,
4,52,,,,,,,,,,,,,
4,53,,,,,,,,,,d,,,
4,54,,,,,,,,,,,,,
4,55,,,d,,,,,,,,,,
4,56,,,e,,,,,,,,,,
4,57,,,e,,,,,,,,,,
4,58,,,e,,,,,,,,,,
4,59,,,,,,,,,,e,,,
5,0,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
5,2,,,,,,,,,,,,,
