Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
8/31/2015 18:51:00,9,"Fighting, Chasing",3,MR,WL,
8/31/2015 18:58:00,11,Chasing,9,UL,WL,
8/31/2015 18:59:00,11,Chasing,10,UR,WL,
8/31/2015 18:59:00,9,Fighting,4,UL,WL,
8/31/2015 19:01:00,9,"Fighting, Chasing",4,UR,WL,
8/31/2015 19:02:00,9,"Fighting, Chasing",12,UL,WL,
8/31/2015 19:03:00,11,Induce-flee,9,MR,WL,
8/31/2015 19:05:00,2,Chasing,9,MR,WL,
9/1/2015 13:41:00,8,Fighting,9,UR,WL,
9/1/2015 13:41:00,8,Fighting,7,MR,WL,
9/1/2015 13:41:00,8,Fighting,1,UL,WL,
9/1/2015 17:08:00,11,Fighting,10,UL,BN,
9/1/2015 17:08:00,11,Chasing,5,"UL, UR",BN,
9/1/2015 17:08:00,11,Fighting,10,UL,BN,
9/1/2015 17:12:00,11,Fighting,3,NB4,BN,
9/1/2015 17:18:00,2,Fighting,6,UR,BN,
9/1/2015 17:18:00,2,Induce-flee,11,UR,BN,
9/1/2015 17:36:00,2,Induce-flee,4,UR,BN,
9/2/2015 13:03:00,2,"Fighting, Chasing",4,"UL, UR",CW,
9/2/2015 13:04:00,2,"Fighting, Chasing",10,"UR, MR",CW,
9/2/2015 13:07:00,2,"Fighting, Chasing",1,"UR, MR",CW,
9/2/2015 13:07:00,2,"Fighting, Chasing",9,"UL, ML, LL",CW,
9/2/2015 13:08:00,2,Fighting,7,NB3,CW,
9/2/2015 13:09:00,2,Fighting,3,NB1,CW,
9/2/2015 13:10:00,2,Fighting,4,NB5,CW,
9/2/2015 13:11:00,2,"Fighting, Chasing",7,"NB4, NB5",CW,
9/2/2015 13:15:00,2,Fighting,1,NB3,CW,
9/2/2015 13:16:00,2,"Fighting, Chasing",4,"MR, LR, NB2",CW,
9/2/2015 13:20:00,2,Fighting,11,NB2,CW,
9/2/2015 13:22:00,8,Fighting,11,NB4,CW,
9/2/2015 13:23:00,8,Fighting,4,LR,CW,
9/2/2015 13:24:00,11,Chasing,9,"LL, NB3",CW,
9/2/2015 13:28:00,8,Fighting,"1, 6, 11",NB4,CW,
9/2/2015 13:35:00,8,Fighting,11,UR,CW,
9/2/2015 13:36:00,2,"Fighting, Chasing",8,"LL, LR",CW,
9/2/2015 13:40:00,2,Fighting,4,NB5,CW,
9/2/2015 13:42:00,2,"Fighting, Chasing",8,"MR, LR, NB3",CW,
9/2/2015 13:45:00,2,Fighting,9,UR,CW,
9/2/2015 13:45:00,2,Fighting,12,NB5,CW,
9/2/2015 13:49:00,2,"Fighting, Chasing",5,"UL, ML, UR, MR",CW,
9/2/2015 13:49:00,2,"Fighting, Chasing",11,"UL, ML, LL",CW,
9/2/2015 13:55:00,8,Chasing,7,"LL, NB1, NB2, NB4, NB5",CW,
9/3/2015 13:04:00,8,Fighting,6,NB4,CW,
9/3/2015 13:06:00,2,Fighting,7,NB3,CW,
9/3/2015 13:07:00,2,Fighting,4,UL,CW,
9/3/2015 13:08:00,2,"Fighting, Chasing",10,"UL, ML, MR",CW,
9/3/2015 13:09:00,8,Fighting,11,"NB3, NB4",CW,
9/3/2015 13:09:00,8,Fighting,5,NB4,CW,
9/3/2015 13:10:00,2,Fighting,8,NB5,CW,
9/3/2015 13:10:00,2,"Fighting, Chasing",7,"NB3, NB4, NB5",CW,
9/3/2015 13:13:00,8,Fighting,4,UR,CW,
