Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
7/18/2016 17:18:58,7,"Fighting, Chasing",12,LR,RH,,
7/18/2016 17:19:56,3,Chasing,10,MR,RH,,
7/18/2016 17:22:47,3,"Fighting, Chasing",11,ML,RH,,
7/18/2016 17:27:32,3,Chasing,4,MR,RH,,
7/18/2016 17:28:41,3,Chasing,9,LL,RH,,
7/18/2016 17:30:27,3,"Fighting, Chasing",4,LL,RH,,
7/18/2016 17:35:00,4,Fighting,1,UL,RH,,
7/18/2016 17:35:37,11,Chasing,12,ML,RH,,
7/18/2016 17:36:46,End,End,End,End,RH,,
7/19/2016 13:58:17,Start,Start,Start,Start,GR,,
7/19/2016 13:59:33,5,"Fighting, Chasing",10,AllOver,GR,,
7/19/2016 14:03:21,8,"Chasing, Subordinate",9,LL,GR,,
7/19/2016 14:05:40,3,"Fighting, Chasing",4,UR,GR,,
7/19/2016 14:11:03,9,"Fighting, Chasing","1, 10",MR,GR,,
7/19/2016 14:15:35,4,"Fighting, Chasing",1,LR,GR,,
7/19/2016 14:18:29,4,"Fighting, Chasing",10,UL,GR,,
7/19/2016 14:25:10,3,Chasing,6,ML,GR,,
7/19/2016 14:26:18,3,Chasing,10,LL,GR,,
7/19/2016 14:44:13,3,Chasing,8,LL,GR,,
7/19/2016 14:48:04,6,"Fighting, Chasing",8,ML,GR,,
7/19/2016 14:54:31,8,"Fighting, Chasing",12,ML,GR,,
7/19/2016 14:55:24,6,"Fighting, Chasing",8,UL,GR,,
7/19/2016 14:59:03,End,End,End,End,GR,,
7/19/2016 16:39:31,3,"Fighting, Chasing",11,LR,WL,Delete previous obs.,
7/19/2016 17:13:50,7,Fighting,1,End,WL,Intense,Yes
7/19/2016 17:14:06,7,Fighting,1,NB3,WL,Again,
7/19/2016 17:27:23,Start,Start,Start,Start,WL,Delete previous obs,
7/19/2016 17:28:25,3,Induce-flee,11,UL,WL,,
7/19/2016 17:31:31,3,Fighting,2,LL,WL,,
7/19/2016 17:31:44,3,Fighting,1,LL,WL,,
7/19/2016 17:32:02,3,Subordinate,10,LL,WL,,
7/19/2016 17:34:09,4,Chasing,2,UL,WL,,
7/19/2016 17:34:21,3,"Fighting, Chasing",11,UR,WL,,
7/19/2016 17:34:47,3,Chasing,2,UR,WL,,
7/19/2016 17:34:57,3,Subordinate,11,LL,WL,,
7/19/2016 17:35:32,3,Subordinate,2,LR,WL,,
7/19/2016 17:35:50,3,Chasing,4,UR,WL,,
7/19/2016 17:36:00,3,Chasing,11,LL,WL,,
7/19/2016 17:36:21,7,"Fighting, Chasing",2,LR,WL,,
7/19/2016 17:37:09,3,Chasing,4,UL,WL,,
7/19/2016 17:37:26,3,Chasing,4,UR,WL,,
7/19/2016 17:38:48,3,"Fighting, Chasing",7,LR,WL,,
7/19/2016 17:39:25,3,Chasing,11,UL,WL,,
7/19/2016 17:40:20,3,Subordinate,11,UL,WL,,
7/19/2016 17:42:59,3,Fighting,7,NB2,WL,,
7/19/2016 17:43:31,3,Chasing,10,LL,WL,3 has no inhibition,
7/19/2016 17:49:13,3,Fighting,12,NB2,WL,,
7/19/2016 18:05:01,6,"Fighting, Chasing",12,LL,WL,,
7/19/2016 18:05:22,6,Chasing,5,LL,WL,,
7/19/2016 18:10:40,6,"Fighting, Chasing",12,UL,WL,,
7/19/2016 18:10:49,3,Chasing,12,LR,WL,,
7/19/2016 18:11:16,3,"Fighting, Chasing",7,LL,WL,Intense,
7/19/2016 18:12:38,6,"Fighting, Chasing",4,LL,WL,,
7/19/2016 18:12:53,6,"Fighting, Chasing",4,LL,WL,Ouch,
7/19/2016 18:13:45,3,Subordinate,1,ML,WL,,
7/19/2016 18:13:56,6,Chasing,2,LL,WL,,
7/19/2016 18:14:24,6,"Fighting, Chasing",2,UL,WL,,
7/19/2016 18:14:03,3,Chasing,2,LR,WL,,
7/19/2016 18:14:33,3,Fighting,2,LL,WL,,
7/19/2016 18:16:10,3,"Fighting, Chasing",2,LR,WL,,Yes
