Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time,Error
12/4/2016 17:00:00,Start,Start,Start,Start,KB,,,
12/4/2016 17:32:00,4,Mounting,5,UR,KB,5:08 most mice asleep in nb5,,
12/4/2016 17:49:00,11,"Fighting, Chasing",10,AllOver,KB,,,
12/4/2016 18:00:00,End,End,End,End,KB,,,
12/5/2016 12:31:00,Start,Start,Start,Start,CW,,,
12/5/2016 12:37:00,11,Chasing,3,UR,CW,Very little happening ,,
12/5/2016 12:42:00,11,Chasing,1,MR,CW,,,
12/5/2016 12:42:00,11,"Fighting, Chasing",2,UL,CW,,,
12/5/2016 12:44:00,11,Chasing,10,LR,CW,,,
12/5/2016 12:44:00,1,"Fighting, Chasing",5,UR,CW,,,
12/5/2016 12:46:00,11,Chasing,1,LL,CW,,,
12/5/2016 12:47:00,11,Fighting,7,NB3,CW,,,
12/5/2016 12:54:00,11,Chasing,10,UL,CW,,,
12/5/2016 12:56:00,11,"Fighting, Chasing",3,UL,CW,,,
12/5/2016 12:56:00,11,Fighting,3,UR,CW,,,
12/5/2016 13:05:00,11,"Fighting, Chasing",3,UL,CW,,,
12/5/2016 13:05:00,11,"Fighting, Chasing",9,MR,CW,,,
12/5/2016 13:08:00,11,Chasing,6,UR,CW,,,
12/5/2016 13:11:00,8,"Fighting, Chasing",7,UR,CW,,,
12/5/2016 13:12:00,11,Chasing,8,UR,CW,,,
12/5/2016 13:13:00,11,Chasing,3,UR,CW,,,
12/5/2016 13:13:00,11,Fighting,3,UR,CW,,,
12/5/2016 13:14:00,12,Chasing,6,UL,CW,,,
12/5/2016 13:14:00,8,Chasing,12,UR,CW,,,
12/5/2016 13:15:00,11,"Fighting, Chasing",8,UR,CW,,,
12/5/2016 13:16:00,11,"Fighting, Chasing",2,UR,CW,,,
12/5/2016 13:21:00,11,Fighting,12,UR,CW,,,
12/5/2016 13:31:00,End,End,End,End,CW,,,
12/5/2016 13:33:00,Start,Start,Start,Start,TM,,,
12/5/2016 13:40:00,11,Fighting,2,UR,TM,,,
12/5/2016 13:44:00,11,Chasing,6,ML,TM,,,
12/5/2016 13:45:00,11,Fighting,8,UR,TM,,,
12/5/2016 13:46:00,11,Induce-flee,12,ML,TM,,,
12/5/2016 13:47:00,8,Chasing,12,UR,TM,,,
12/5/2016 13:48:00,8,Chasing,6,UL,TM,,,
12/5/2016 13:49:00,11,Fighting,2,UR,TM,,,
12/5/2016 13:49:00,11,Fighting,6,MR,TM,,,
12/5/2016 13:50:00,11,Chasing,8,UR,TM,,,
12/5/2016 13:53:00,8,Fighting,10,LR,TM,,,
12/5/2016 13:54:00,4,Subordinate,8,MR,TM,,,
12/5/2016 13:57:00,8,Chasing,4,UR,TM,,,
12/5/2016 14:00:00,11,Chasing,6,UR,TM,,,
12/5/2016 14:02:00,11,Chasing,8,LR,TM,,,
12/5/2016 14:04:00,11,Fighting,2,UR,TM,,,
12/5/2016 14:07:00,11,Chasing,8,UR,TM,,,
12/5/2016 14:13:00,11,Fighting,8,UR,TM,,,
12/5/2016 14:14:00,11,Fighting,5,UL,TM,,,
12/5/2016 14:15:00,11,Fighting,12,MR,TM,,,
12/5/2016 14:18:00,11,Chasing,8,MR,TM,,,
12/5/2016 14:19:00,11,Chasing,8,LR,TM,,,
12/5/2016 14:22:00,11,Induce-flee,6,UL,TM,,,
12/5/2016 14:26:00,10,Chasing,6,UR,TM,,,
12/5/2016 14:27:00,11,Fighting,3,UR,TM,,,
12/5/2016 14:31:00,8,Fighting,10,UR,TM,,,
12/5/2016 14:32:00,8,Chasing,12,UR,TM,,,
12/5/2016 14:34:00,11,Chasing,6,MR,TM,,,
12/5/2016 14:36:00,11,Chasing,3,UR,TM,,,
12/5/2016 14:37:00,11,Fighting,6,ML,TM,,,
12/5/2016 14:38:00,11,Fighting,8,MR,TM,,,
12/5/2016 14:39:00,11,Fighting,7,UR,TM,,,
12/5/2016 14:40:00,11,Chasing,3,ML,TM,,,
12/5/2016 14:40:00,11,Fighting,4,MR,TM,,,
12/5/2016 14:42:00,11,Fighting,6,ML,TM,,,
12/5/2016 14:43:00,11,Fighting,10,ML,TM,,,
12/5/2016 14:44:00,11,Fighting,6,LR,TM,,,
12/5/2016 14:47:00,12,Fighting,5,UR,TM,,,
12/5/2016 14:48:00,11,Fighting,6,NB3,TM,,,
12/5/2016 14:49:00,12,Chasing,4,NB3,TM,,,
12/5/2016 14:51:00,11,Chasing,7,LR,TM,,,
12/5/2016 14:57:00,11,Fighting,5,ML,TM,,,
12/5/2016 14:59:00,11,Chasing,6,UR,TM,,,
12/5/2016 15:01:00,11,Chasing,10,MR,TM,,,
12/5/2016 15:03:00,12,Chasing,7,NB3,TM,,,
12/5/2016 15:04:00,11,Chasing,6,NB2,TM,,,
12/5/2016 15:09:00,11,Chasing,3,UL,TM,,,
12/5/2016 15:11:00,11,Chasing,5,ML,TM,,,
12/5/2016 15:13:00,11,Fighting,6,ML,TM,,,
12/5/2016 15:15:00,11,Chasing,6,ML,TM,,,
12/5/2016 15:17:00,11,Fighting,7,UL,TM,,,
12/5/2016 15:18:00,11,Fighting,10,UR,TM,,,
12/5/2016 15:19:00,11,Fighting,12,UR,TM,,,
12/5/2016 15:20:00,11,Fighting,7,MR,TM,,,
12/5/2016 15:24:00,11,Fighting,8,UR,TM,,,
12/5/2016 15:25:00,11,Chasing,3,UL,TM,,,
12/5/2016 15:26:00,11,Fighting,7,UR,TM,,,
12/5/2016 15:31:00,11,Induce-flee,8,UL,TM,,,
12/5/2016 15:32:00,11,Chasing,8,MR,TM,,,
12/5/2016 15:33:00,11,Chasing,10,NB1,TM,,,
12/5/2016 15:35:00,11,Chasing,10,MR,TM,,,
12/5/2016 15:35:00,8,Fighting,6,UR,TM,,,
12/5/2016 16:08:00,End,End,End,End,TM,Sorry! I forgot to submit for an end but I ended at 3:35,,
12/6/2016 12:54:00,Start,Start,Start,Start,IK,*Inbal is observing cohort 86,,
12/6/2016 13:02:00,11,Chasing,4,LL,IK,,,
12/6/2016 13:06:00,11,"Fighting, Chasing",8,MR,IK,,,
12/6/2016 13:18:00,11,Fighting,3,NB5,IK,,,
12/6/2016 13:26:00,4,"Fighting, Chasing",6,UR,IK,,,
12/6/2016 13:28:00,11,Chasing,9,NB4,IK,,,
12/6/2016 13:35:00,10,Chasing,6,NB1,IK,,,
12/6/2016 13:37:00,11,Chasing,4,UL,IK,,,
12/6/2016 13:45:00,11,"Fighting, Chasing",6,LL,IK,,,
12/6/2016 13:49:00,11,"Fighting, Chasing",8,UR,IK,,,
12/6/2016 13:51:00,10,"Fighting, Chasing",1,NB1,IK,,,
12/6/2016 13:53:00,End,End,End,End,IK,,,
12/6/2016 13:53:00,Start,Start,Start,Start,IK,,,
12/6/2016 13:55:00,11,"Fighting, Chasing",8,UL,IK,,,
12/6/2016 13:57:00,10,"Fighting, Chasing",3,NB2,IK,Very aggressive!!,,
12/6/2016 13:58:00,11,Chasing,8,ML,IK,,,
12/6/2016 14:00:00,8,"Fighting, Chasing",4,UR,IK,,,
12/6/2016 14:47:00,9,Chasing,6,NB5,IK,,,
12/6/2016 14:50:00,11,"Fighting, Chasing",10,LL,IK,,,
12/6/2016 14:52:00,End,End,End,End,IK,,,
12/7/2016 12:32:00,Start,Start,Start,Start,CW,,,
12/7/2016 12:53:00,11,Induce-flee,8,MR,CW,,,
12/7/2016 12:53:00,11,Chasing,8,LL,CW,,,
12/7/2016 12:54:00,11,Chasing,8,UL,CW,,,
12/7/2016 13:02:00,11,"Fighting, Chasing",8,UR,CW,,,
12/7/2016 13:10:00,11,"Fighting, Chasing",3,UR,CW,,,
12/7/2016 13:11:00,11,Chasing,3,LL,CW,,,
12/7/2016 13:14:00,11,"Fighting, Chasing",1,LL,CW,,,
12/7/2016 13:15:00,11,Chasing,8,UL,CW,,,
12/7/2016 13:21:00,11,"Fighting, Chasing",2,NB4,CW,,,
12/7/2016 13:21:00,11,Fighting,8,NB4,CW,,,
12/7/2016 13:24:00,11,"Fighting, Chasing",4,MR,CW,,,
12/7/2016 13:25:00,11,Chasing,8,ML,CW,,,
12/7/2016 13:32:00,11,Fighting,3,NB5,CW,,,
12/7/2016 13:37:00,11,"Fighting, Chasing",8,LL,CW,,,
12/7/2016 13:39:00,11,Chasing,1,LL,CW,,,
12/7/2016 13:40:00,1,Fighting,8,NB4,CW,,,
12/7/2016 13:49:00,11,"Fighting, Chasing",5,LR,CW,,,
12/7/2016 13:49:00,11,Fighting,3,NB1,CW,,,
12/7/2016 13:56:00,4,Chasing,9,NB1,CW,,,
12/7/2016 14:03:00,11,Fighting,3,LR,CW,,,
12/7/2016 14:06:00,11,Chasing,8,MR,CW,,,
12/7/2016 14:07:00,11,Fighting,3,NB1,CW,,,
12/7/2016 14:10:00,11,"Fighting, Chasing",10,ML,CW,,,
12/7/2016 14:16:00,11,Chasing,6,ML,CW,,,
12/7/2016 14:16:00,11,Fighting,3,MR,CW,,,
12/7/2016 14:18:00,1,Fighting,12,NB2,CW,,,
12/7/2016 14:22:00,11,"Fighting, Chasing",6,NB3,CW,,,
12/7/2016 14:26:00,11,Fighting,8,LL,CW,,,
12/7/2016 14:30:00,End,End,End,End,CW,,,
12/8/2016 14:48:00,Start,Start,Start,Start,GR,,,
