Timestamp,Actor,Behavior,Recipient,Location,Observer
10/14/2015 13:50:00,5,Chasing,8,"MR, LR",CC
10/14/2015 13:51:00,10,Fighting,2,LR,CC
10/14/2015 13:51:00,10,Fighting,8,LL,CC
10/14/2015 13:51:00,10,"Fighting, Chasing",3,"UL, ML, UR",CC
10/14/2015 13:56:00,10,Chasing,4,"LL, LR",CC
10/14/2015 14:08:00,10,Chasing,3,"UL, ML, UR",CC
10/14/2015 14:19:00,10,Chasing,3,"ML, UR, MR",CC
10/14/2015 14:32:00,10,Induce-flee,9,UR,CC
10/14/2015 14:36:00,10,"Fighting, Chasing",9,"UL, ML, LL, UR, LR",CC
10/14/2015 14:37:00,10,Chasing,8,"ML, LL, LR",CC
10/14/2015 14:39:00,10,Chasing,11,"UL, ML, LL, UR",CC
10/15/2015 12:01:00,10,Chasing,12,"LL, NB1, NB2, NB5",TN
10/15/2015 12:04:00,3,Chasing,12,"UR, MR",TN
10/15/2015 12:05:00,10,Fighting,3,LR,TN
10/15/2015 12:07:00,10,Chasing,7,"MR, LR",TN
10/15/2015 12:08:00,10,Chasing,5,MR,TN
10/15/2015 12:08:00,10,"Fighting, Chasing",8,"UL, ML, MR",TN
10/15/2015 12:09:00,10,Fighting,"5, 7","LL, LR",TN
10/15/2015 12:10:00,10,Chasing,"3, 7",UR,TN
10/15/2015 12:10:00,10,Fighting,3,"UL, UR",TN
10/15/2015 12:12:00,10,Chasing,12,"ML, MR",TN
10/15/2015 12:13:00,10,Chasing,3,UR,TN
10/15/2015 12:16:00,10,Chasing,3,UR,TN
10/15/2015 12:17:00,10,Chasing,5,"UL, UR",TN
10/15/2015 12:21:00,10,Fighting,7,"LL, NB1, NB2",TN
10/15/2015 12:21:00,10,Fighting,2,NB2,TN
10/15/2015 12:22:00,10,"Fighting, Chasing",5,"LL, LR",TN
10/15/2015 12:25:00,10,Chasing,5,"MR, LR",TN
10/15/2015 12:27:00,10,Chasing,9,MR,TN
10/15/2015 12:28:00,10,Chasing,8,"UL, ML, LL, LR",TN
10/15/2015 12:28:00,3,Chasing,2,"UL, UR",TN
10/15/2015 12:29:00,10,Chasing,5,"ML, MR, LR",TN
10/15/2015 12:30:00,10,"Fighting, Chasing",3,"UL, UR",TN
10/15/2015 12:31:00,10,Chasing,2,"UL, ML, LL",TN
10/15/2015 12:34:00,2,Chasing,4,LL,TN
10/15/2015 12:37:00,10,Fighting,3,UR,TN
10/15/2015 12:38:00,10,Chasing,12,"LL, LR",TN
10/15/2015 12:39:00,3,Chasing,12,"UL, ML, LL",TN
10/15/2015 12:40:00,10,Chasing,3,MR,TN
10/15/2015 12:44:00,10,"Fighting, Chasing",1,"MR, LR, NB3",TN
10/15/2015 12:46:00,10,Chasing,11,"UL, UR",TN
10/15/2015 12:48:00,3,"Fighting, Chasing",12,"ML, LL",TN
10/15/2015 12:49:00,3,Chasing,12,"UR, MR",TN
10/15/2015 12:51:00,3,Chasing,12,"UL, UR",TN
10/15/2015 12:51:00,10,Chasing,3,"UL, ML, UR",TN
10/15/2015 12:52:00,3,Fighting,2,"UL, ML",TN
10/15/2015 12:52:00,10,Subordinate,3,UL,TN
10/15/2015 12:55:00,10,Chasing,12,All over,TN
10/15/2015 13:01:00,10,Fighting,8,"NB1, NB5",TN
10/15/2015 13:06:00,10,Chasing,5,"UL, ML",TN
10/15/2015 13:07:00,10,Chasing,3,"UL, UR",TN
10/15/2015 13:09:00,3,Fighting,9,MR,TN
10/15/2015 13:09:00,10,"Fighting, Chasing",3,All over,TN
10/15/2015 13:15:00,10,Chasing,7,"MR, LR",TN
10/15/2015 13:15:00,10,Chasing,12,"MR, LR",TN
10/15/2015 13:16:00,10,Chasing,12,UL,TN
10/15/2015 13:17:00,10,Fighting,7,"UR, MR",TN
10/15/2015 13:20:00,5,Chasing,9,"UL, ML, LL, LR",TN
