"cohort","day","behav","times","grank1","mouse","total","bouts"
86,7,"Eat",444,1,11,14.2,1
86,7,"Eat",476,3,1,41.2,4
86,7,"Eat",636,8,9,60,2
86,7,"Eat",694,6,4,16.04,1
86,7,"Eat",747,1,11,60,1
86,7,"Eat",787,1,11,49.04,1
86,7,"Eat",958,1,11,60,1
86,7,"Eat",1005,10,10,46.16,2
86,7,"Eat",1187,5,8,25.84,2
86,7,"Eat",1278,1,11,56.16,2
